format,team1,team2,toss_winner,match_winner,venue,date
ODI,Pakistan,West Indies,West Indies,Pakistan,W.A.C.A. Ground,2005-02-01
T20,Dubai Capitals,MI Emirates,MI Emirates,Dubai Capitals,Dubai International Cricket Stadium,2025-01-11
ODI,England,Australia,England,England,Riverside Ground,2009-09-20
T20,Otago,Northern Districts,Northern Districts,Otago,Seddon Park,2019-12-16
T20,Nigeria,Uganda,Nigeria,Uganda,"Gahanga International Cricket Stadium, Rwanda",2024-12-06
T20,Canterbury,Central Districts,Central Districts,Canterbury,"Pukekura Park, New Plymouth",2023-12-30
T20,Sri Lanka,Oman,Oman,Sri Lanka,Pallekele International Cricket Stadium,2026-02-12
T20,Pakistan,England,England,Pakistan,"Trent Bridge, Nottingham",2021-07-16
ODM,Glamorgan,Essex,Essex,Glamorgan,"County Ground, Chelmsford",2024-08-04
T20,Wellington,Central Districts,Wellington,Wellington,"Fitzherbert Park, Palmerston North",2022-12-27
T20,Canterbury,Otago,Otago,Otago,"Hagley Oval, Christchurch",2023-02-04
MDM,Colts Cricket Club,Ragama Cricket Club,Ragama Cricket Club,No Result,"Colts Cricket Club Ground, Colombo",2025-01-31
ODM,Hampshire,Kent,Hampshire,Kent,"Kent County Cricket Ground, Beckenham",2024-07-31
T20,Melbourne Stars,Sydney Sixers,Sydney Sixers,Melbourne Stars,Melbourne Cricket Ground,2019-01-14
T20,Jaffna Stallions,Galle Gladiators,Jaffna Stallions,Jaffna Stallions,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",2020-12-16
T20,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,"Brabourne Stadium, Mumbai",2022-04-30
ODI,Ireland,New Zealand,Ireland,New Zealand,Malahide,2017-05-21
ODI,Ireland,England,England,England,"The Village, Malahide",2019-05-03
T20,Chittagong Vikings,Rajshahi Kings,Rajshahi Kings,Rajshahi Kings,"Shere Bangla National Stadium, Mirpur",2016-12-06
T20,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Royal Challengers Bengaluru,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025-05-29
T20,Sierra Leone,Eswatini,Eswatini,Sierra Leone,"Botswana Cricket Association Oval 2, Gaborone",2025-04-27
T20,Sydney Sixers,Melbourne Stars,Sydney Sixers,Melbourne Stars,Casey Fields No. 4,2016-12-17
MDM,Middlesex,Yorkshire,Yorkshire,Middlesex,"Lord's, London",2016-09-20
Test,New Zealand,India,India,No Result,Basin Reserve,2014-02-14
ODI,West Indies,Bangladesh,West Indies,West Indies,"National Cricket Stadium, St George's",2014-08-20
ODI,India,Sri Lanka,India,India,Welagedara Stadium,2008-05-11
T20,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,Peshawar Zalmi,Rawalpindi Cricket Stadium,2020-03-05
T20,Leicestershire,Derbyshire,Leicestershire,Derbyshire,Grace Road,2018-07-27
T20,Pakistan,West Indies,West Indies,West Indies,"National Stadium, Karachi",2024-05-03
ODM,North-West Warriors,Munster Reds,North-West Warriors,Munster Reds,Oak Hill Cricket Club,2024-06-05
T20,Kuwait,Bhutan,Bhutan,Bhutan,"Terdthai Cricket Ground, Bangkok",2025-05-16
Test,Australia,India,Australia,Australia,Adelaide Oval,2014-12-09
T20,Turkey,Gibraltar,Gibraltar,Gibraltar,"Vassil Levski National Sports Academy, Sofia",2025-07-11
T20,Oman,United Arab Emirates,Oman,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2025-12-12
MDM,Somerset,Nottinghamshire,Somerset,No Result,"The Cooper Associates County Ground, Taunton",2025-06-29
T20,Qatar,Bhutan,Bhutan,Bhutan,"Bayuemas Oval, Kuala Lumpur",2023-09-01
T20,Noakhali Express,Rajshahi Warriors,Rajshahi Warriors,Rajshahi Warriors,Sylhet International Cricket Stadium,2026-01-08
T20,Rajasthan,Vidarbha,Vidarbha,Vidarbha,"Airforce Complex ground, Palam",2021-11-18
ODI,England,Zimbabwe,England,England,Harare Sports Club,2004-12-01
ODM,Essex,Gloucestershire,Gloucestershire,Essex,"County Ground, Chelmsford",2017-05-04
T20,Mozambique,Sierra Leone,Mozambique,Sierra Leone,"Botswana Cricket Association Oval 2, Gaborone",2025-04-26
MDM,Wellington Firebirds,Auckland Aces,Auckland Aces,Auckland Aces,"Colin Maiden Park, Auckland",2016-02-13
MDM,Leicestershire,Glamorgan,Leicestershire,Glamorgan,"Grace Road, Leicester",2022-07-20
T20,Glamorgan,Essex,Essex,Glamorgan,"County Ground, Chelmsford",2025-06-12
T20,Sunrisers,Western Storm,Western Storm,Western Storm,"County Ground, Chelmsford",2022-05-18
T20,Mali,Ghana,Mali,Ghana,"Gymkhana Club Ground, Dar-es-Salaam",2024-09-26
T20,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Delhi Capitals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2019-05-08
T20,New Zealand,Pakistan,Pakistan,Pakistan,AMI Stadium,2010-12-30
T20,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,2018-04-09
T20,Glamorgan,Somerset,Somerset,Somerset,"The Cooper Associates County Ground, Taunton",2022-06-03
T20,Estonia,Finland,Finland,Finland,Kerava National Cricket Ground,2025-07-19
T20,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,"Wankhede Stadium, Mumbai",2021-04-15
T20,Chittagong Kings,Fortune Barishal,Fortune Barishal,Fortune Barishal,"Shere Bangla National Stadium, Mirpur",2025-02-03
T20,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk, Chennai",2024-03-22
T20,Thailand,Pakistan,Thailand,Pakistan,Kinrara Academy Oval,2018-06-03
ODM,Botswana,Guernsey,Guernsey,Guernsey,Ashlyns Road,2015-09-08
MDM,Kent,Lancashire,Kent,No Result,"Old Trafford, Manchester",2021-07-04
T20,South East Stars,Southern Vipers,Southern Vipers,South East Stars,"The Rose Bowl, Southampton",2021-08-28
T20,Warriors,Lions,Lions,No Result,"Buffalo Park, East London",2019-04-14
T20,United States of America,United Arab Emirates,United States of America,United Arab Emirates,"Tolerance Oval, Abu Dhabi",2022-09-25
T20,England,West Indies,England,West Indies,Kennington Oval,2009-06-15
ODI,West Indies,Bangladesh,Bangladesh,Bangladesh,"Providence Stadium, Guyana",2022-07-10
Test,India,South Africa,India,India,"Vidarbha Cricket Association Stadium, Jamtha",2015-11-25
T20,Jamaica Tallawahs,Guyana Amazon Warriors,Guyana Amazon Warriors,Jamaica Tallawahs,Providence Stadium,2017-08-17
Test,South Africa,Bangladesh,Bangladesh,South Africa,"Kingsmead, Durban",2022-03-31
T20,Peshawar Zalmi,Lahore Qalandars,Peshawar Zalmi,Peshawar Zalmi,Rawalpindi Cricket Stadium,2023-03-07
ODM,United Arab Emirates,Nepal,United Arab Emirates,United Arab Emirates,Wanderers Cricket Ground,2018-02-15
ODI,Australia,South Africa,South Africa,Australia,Melbourne Cricket Ground,2014-11-21
ODM,Netherlands,Namibia,Namibia,Netherlands,Wanderers Cricket Ground,2013-04-16
T20,Warriors,Cape Cobras,Warriors,Cape Cobras,"Boland Park, Paarl",2014-12-03
T20,India,South Africa,India,No Result,"Buffalo Park, East London",2023-01-28
T20,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,"Western Australia Cricket Association Ground, Perth",2024-11-23
T20,Bangladesh,United States of America,United States of America,Bangladesh,Mulpani Cricket Ground,2026-01-18
T20,Brisbane Heat,Sydney Sixers,Sydney Sixers,Sydney Sixers,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2026-01-18
T20,Hampshire,Middlesex,Middlesex,Middlesex,The Rose Bowl,2016-07-22
T20,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,"Bellerive Oval, Hobart",2024-01-11
T20,Badureliya Sports Club,Nondescripts Cricket Club,Nondescripts Cricket Club,No Result,"Colts Cricket Club Ground, Colombo",2025-05-25
T20,Worcestershire,Yorkshire,Yorkshire,Yorkshire,"County Ground, New Road, Worcester",2024-07-14
T20,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Kingsmead,2009-05-20
T20,Derbyshire,Birmingham Bears,Derbyshire,Derbyshire,County Ground,2018-08-03
T20,Islamabad United,Multan Sultans,Islamabad United,Islamabad United,Gaddafi Stadium,2020-02-22
ODM,Lancashire,Leicestershire,Lancashire,Leicestershire,"Old Trafford, Manchester",2017-04-28
T20,Isle of Man,Spain,Spain,Spain,La Manga Club Bottom Ground,2023-02-26
ODI,England,India,India,India,"Old Trafford, Manchester",2022-07-17
T20,Lesotho,Rwanda,Lesotho,Rwanda,"Botswana Cricket Association Oval 1, Gaborone",2024-04-22
T20,South Africa,Australia,South Africa,Australia,"Kingsmead, Durban",2023-09-03
T20,Birmingham Bears,Nottinghamshire,Nottinghamshire,Birmingham Bears,"Trent Bridge, Nottingham",2022-06-17
T20,Melbourne Stars,Sydney Thunder,Sydney Thunder,Sydney Thunder,"Junction Oval, Melbourne",2025-12-06
T20,Czech Republic,Hungary,Hungary,Czech Republic,Marsa Sports Club,2022-05-15
T20,United Arab Emirates,Oman,United Arab Emirates,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),2022-03-22
T20,Australia,Sri Lanka,Sri Lanka,Australia,"Brisbane Cricket Ground, Woolloongabba",2019-10-30
T20,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,National Stadium,2020-02-22
T20,Zimbabwe,Namibia,Namibia,Zimbabwe,Entebbe Cricket Oval,2023-12-16
T20,Derbyshire,Worcestershire,Worcestershire,Derbyshire,County Ground,2016-07-22
ODM,Southern Vipers,Sunrisers,Southern Vipers,Southern Vipers,"The Rose Bowl, Southampton",2022-07-23
Test,West Indies,Australia,West Indies,Australia,"Sabina Park, Kingston",2015-06-11
T20,Northern Superchargers,London Spirit,Northern Superchargers,Northern Superchargers,"Lord's, London",2021-08-03
T20,Wellington,Central Districts,Wellington,Wellington,"Saxton Oval, Nelson",2025-01-04
T20,Durham,Northamptonshire,Northamptonshire,Northamptonshire,Riverside Ground,2017-07-09
Test,India,West Indies,India,India,"Sabina Park, Kingston",2006-06-30
T20,United Arab Emirates,Nepal,Nepal,United Arab Emirates,"ICC Academy Ground No 2, Dubai",2021-11-28
ODI,New Zealand,Sri Lanka,New Zealand,Sri Lanka,Brabourne Stadium,2006-10-20
ODI,West Indies,England,West Indies,No Result,Queen's Park Oval,2004-04-24
T20,Galle Titans,Colombo Strikers,Colombo Strikers,Colombo Strikers,Pallekele International Cricket Stadium,2023-08-07
T20,Southern Vipers,Yorkshire Diamonds,Southern Vipers,Southern Vipers,"The Rose Bowl, Southampton",2019-08-21
T20,Kent,Essex,Kent,Essex,"St Lawrence Ground, Canterbury",2023-06-07
MDM,New South Wales,South Australia,South Australia,New South Wales,Adelaide Oval,2019-11-01
T20,Welsh Fire,Oval Invincibles,Oval Invincibles,Welsh Fire,"Kennington Oval, London",2021-08-02
ODI,Canada,Netherlands,Canada,Netherlands,Bay Oval,2014-01-28
T20,Melbourne Stars,Sydney Sixers,Sydney Sixers,Sydney Sixers,North Sydney Oval,2020-11-22
MDM,Nottinghamshire,Durham,Nottinghamshire,No Result,"Trent Bridge, Nottingham",2014-05-25
T20,Hampshire,Middlesex,Middlesex,Hampshire,"Radlett Cricket Club, Radlett",2023-06-06
T20,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,Rajiv Gandhi International Stadium,2019-04-14
T20,Northern Superchargers,London Spirit,Northern Superchargers,London Spirit,"Headingley, Leeds",2022-08-14
ODM,Worcestershire,Kent,Worcestershire,Kent,"County Ground, New Road, Worcester",2022-08-02
IT20,Japan,Vanuatu,Vanuatu,Vanuatu,Sano International Cricket Ground,2017-04-29
T20,France,Norway,France,France,Kerava National Cricket Ground,2022-07-27
T20,Melbourne Stars,Adelaide Strikers,Melbourne Stars,Adelaide Strikers,Nuriootpa Centennial Park,2019-11-16
MDM,Yorkshire,Hampshire,Yorkshire,Hampshire,"The Rose Bowl, Southampton",2022-06-12
T20,Leicestershire,Birmingham Bears,Leicestershire,Leicestershire,Grace Road,2019-08-07
T20,Malta,Belgium,Malta,Belgium,Marsa Sports Club,2021-07-08
T20,Antigua Hawksbills,Jamaica Tallawahs,Jamaica Tallawahs,Jamaica Tallawahs,"Sabina Park, Kingston",2014-07-31
T20,Otago,Auckland,Otago,Otago,"Molyneux Park, Alexandra",2024-01-01
T20,Yorkshire,Leicestershire,Leicestershire,Yorkshire,Headingley,2014-07-01
T20,Trinbago Knight Riders,Guyana Amazon Warriors,Trinbago Knight Riders,Guyana Amazon Warriors,"Brian Lara Stadium, Tarouba, Trinidad",2023-09-09
ODM,Lancashire,Hampshire,Lancashire,Hampshire,"The Rose Bowl, Southampton",2019-05-12
T20,Sudur Paschim Royals,Chitwan Rhinos,Chitwan Rhinos,Sudur Paschim Royals,"Tribhuvan University International Cricket Ground, Kirtipur",2025-12-04
Test,India,West Indies,West Indies,India,Feroz Shah Kotla,2011-11-06
ODI,Sri Lanka,Australia,Sri Lanka,Sri Lanka,R Premadasa Stadium,2016-08-24
IT20,Swaziland,Namibia,Namibia,Namibia,Botswana Cricket Association Oval 2,2018-10-28
T20,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Punjab Kings,"M Chinnaswamy Stadium, Bengaluru",2025-04-18
T20,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,"Sawai Mansingh Stadium, Jaipur",2024-04-22
T20,England,Pakistan,England,England,County Ground,2016-07-03
ODM,Northamptonshire,Derbyshire,Derbyshire,Derbyshire,"County Ground, Northampton",2024-07-24
T20,Rwanda,Brazil,Brazil,Rwanda,"Gahanga B Ground, Rwanda",2025-06-10
T20,Titans,Lions,Lions,Lions,"SuperSport Park, Centurion",2019-04-28
T20,Jamaica Tallawahs,St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,St Kitts and Nevis Patriots,Providence Stadium,2018-09-12
T20,Tanzania,Botswana,Tanzania,Tanzania,Gahanga International Cricket Stadium. Rwanda,2021-11-07
T20,Kuwait,Malaysia,Kuwait,Malaysia,Asian Institute of Technology Ground,2019-02-18
T20,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,Melbourne Cricket Ground,2014-01-21
T20,India,West Indies,India,India,"Rajiv Gandhi International Stadium, Uppal",2019-12-06
T20,Pakistan,Namibia,Pakistan,Pakistan,"Sinhalese Sports Club Ground, Colombo",2026-02-18
ODM,Kurunegala Youth Cricket Club,Colombo Cricket Club,Colombo Cricket Club,Colombo Cricket Club,"Welagedara Stadium, Kurunegala",2024-06-22
T20,Tshwane Spartans,Paarl Rocks,Paarl Rocks,Tshwane Spartans,"Boland Park, Paarl",2018-11-18
ODM,New South Wales,Tasmania,New South Wales,New South Wales,"North Sydney Oval, Sydney",2023-02-16
MDM,Essex,Warwickshire,Warwickshire,No Result,"Edgbaston, Birmingham",2025-09-15
ODI,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,Pallekele International Cricket Stadium,2023-08-31
T20,United States of America,Bermuda,Bermuda,Bermuda,Bermuda National Stadium,2019-08-22
MDM,Warwickshire,Essex,Essex,Essex,"Edgbaston, Birmingham",2017-09-12
ODM,Southern Vipers,South East Stars,Southern Vipers,Southern Vipers,"County Ground, Hove",2020-09-05
T20,Lancashire,Somerset,Somerset,Somerset,"The Cooper Associates County Ground, Taunton",2021-08-26
T20,Sri Lanka,West Indies,West Indies,West Indies,Rangiri Dambulla International Stadium,2024-10-13
ODI,Sri Lanka,West Indies,Sri Lanka,Sri Lanka,Pallekele International Cricket Stadium,2020-03-01
T20,Durham,Leicestershire,Durham,Durham,Riverside Ground,2018-08-08
T20,Knights,Cape Cobras,Cape Cobras,Cape Cobras,"Diamond Oval, Kimberley",2015-11-11
ODI,India,Australia,India,No Result,JSCA International Stadium Complex,2013-10-23
T20,South Africa,Australia,Australia,Australia,"Cazaly's Stadium, Cairns",2025-08-16
MDM,Warwickshire,Somerset,Somerset,Somerset,"The Cooper Associates County Ground, Taunton",2024-06-30
IT20,United Arab Emirates,Ireland,Ireland,Ireland,Sheikh Zayed Stadium,2013-11-29
T20,Botswana,Rwanda,Rwanda,Rwanda,"Botswana Cricket Association Oval 1, Gaborone",2024-04-25
MDM,Nottinghamshire,Middlesex,Nottinghamshire,No Result,"Lord's, London",2016-05-08
T20,New Zealand,Scotland,New Zealand,New Zealand,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",2022-07-29
T20,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Hurstville Oval,2016-12-29
MDM,Sussex,Surrey,Sussex,No Result,"County Ground, Hove",2025-04-18
Test,England,West Indies,West Indies,No Result,Lord's,2007-05-17
T20,Royal Challengers Bangalore,UP Warriorz,UP Warriorz,Royal Challengers Bangalore,"M Chinnaswamy Stadium, Bengaluru",2024-02-24
T20,Perth Scorchers,Sydney Thunder,Sydney Thunder,Sydney Thunder,Perth Stadium,2025-01-03
T20,Melbourne Stars,Sydney Thunder,Melbourne Stars,Sydney Thunder,"Casey Fields No 4, Melbourne",2023-11-04
T20,Himachal Pradesh,Punjab,Punjab,Himachal Pradesh,"Eden Gardens, Kolkata",2022-11-03
T20,Israel,Spain,Israel,Spain,"Meersen, Gent",2022-06-29
MDM,Canterbury,Wellington Firebirds,Wellington Firebirds,Canterbury,Hagley Oval,2019-03-01
Test,England,Australia,England,Australia,Perth Stadium,2025-11-21
T20,Lahore Qalandars,Islamabad United,Islamabad United,Lahore Qalandars,"Gaddafi Stadium, Lahore",2025-04-30
T20,West Indies,Bangladesh,Bangladesh,West Indies,"Warner Park, Basseterre",2009-08-02
T20,Comilla Victorians,Khulna Tigers,Khulna Tigers,Comilla Victorians,Sylhet International Cricket Stadium,2023-01-28
ODI,Sri Lanka,New Zealand,Sri Lanka,New Zealand,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013-11-12
MDM,Victoria,Western Australia,Western Australia,Victoria,"Western Australia Cricket Association Ground, Perth",2025-03-15
MDM,Warwickshire,Durham,Warwickshire,Warwickshire,"Edgbaston, Birmingham",2015-05-17
T20,Surrey,Essex,Essex,Essex,Kennington Oval,2014-06-06
ODI,Nepal,Oman,Nepal,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2021-09-14
T20,Munster Reds,Leinster Lightning,Munster Reds,Leinster Lightning,"Pembroke Cricket Club, Sandymount, Dublin",2024-05-16
T20,Dhaka Gladiators,Sylhet Royals,Dhaka Gladiators,Sylhet Royals,"Sheikh Abu Naser Stadium, Khulna",2013-01-25
IT20,Kenya,Scotland,Kenya,Scotland,"Grange Cricket Club Ground, Raeburn Place",2015-07-14
T20,Panama,Mexico,Mexico,No Result,"Sao Fernando Polo and Cricket Club, Campo Sede",2025-10-30
ODM,Kuwait,Bahrain,Kuwait,Kuwait,Royal Chiangmai Golf Club,2017-04-28
T20,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,Delhi Capitals,"Arun Jaitley Stadium, Delhi",2024-05-14
T20,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",2022-04-16
ODI,England,India,England,India,Kennington Oval,2007-09-05
ODM,Qatar,Canada,Canada,Canada,"UKM-YSD Cricket Oval, Bangi",2022-12-04
T20,Sunrisers Eastern Cape,Pretoria Capitals,Sunrisers Eastern Cape,Pretoria Capitals,"Kingsmead, Durban",2026-01-21
MDM,Glamorgan,Middlesex,Middlesex,No Result,"Lord's, London",2024-04-05
IT20,Spain,Jersey,Spain,Jersey,VRA Ground,2018-08-30
T20,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,M Chinnaswamy Stadium,2016-05-02
T20,Cyprus,Turkey,Cyprus,Cyprus,Tikkurila Cricket Ground,2022-07-16
MDM,Queensland,South Australia,South Australia,No Result,Adelaide Oval,2021-10-15
T20,Australia,England,England,England,"Sophia Gardens, Cardiff",2024-09-13
T20,South East Stars,Sunrisers,South East Stars,South East Stars,"Woodbridge Road, Guildford",2022-06-05
T20,Worcestershire,Birmingham Bears,Worcestershire,Birmingham Bears,"County Ground, New Road",2020-09-13
T20,United Arab Emirates,Saudi Arabia,United Arab Emirates,United Arab Emirates,"West End Park International Cricket Stadium, Doha",2024-11-20
ODI,Australia,India,Australia,Australia,Sydney Cricket Ground,2008-02-24
ODI,Sri Lanka,England,Sri Lanka,England,"R Premadasa Stadium, Colombo",2026-01-24
T20,Cook Islands,Indonesia,Cook Islands,Indonesia,Udayana Cricket Ground,2025-04-09
ODI,England,New Zealand,New Zealand,England,Trent Bridge,2013-06-05
ODI,Pakistan,Sri Lanka,Pakistan,Sri Lanka,"R Premadasa Stadium, Colombo",2023-09-14
ODI,India,South Africa,India,India,"Civil Service Cricket Club, Stormont",2007-07-01
T20,Surrey,Middlesex,Middlesex,Middlesex,"Kennington Oval, London",2023-06-22
Test,Sri Lanka,New Zealand,New Zealand,New Zealand,Basin Reserve,2005-04-11
ODI,Bangladesh,South Africa,South Africa,South Africa,Shere Bangla National Stadium,2011-03-19
ODI,England,West Indies,West Indies,West Indies,Trent Bridge,2007-07-07
T20,Melbourne Renegades,Brisbane Heat,Brisbane Heat,Melbourne Renegades,"GMHBA Stadium, South Geelong, Victoria",2025-12-15
T20,Myanmar,Singapore,Singapore,Myanmar,Singapore National Cricket Ground,2025-11-30
MDM,South Australia,Western Australia,Western Australia,Western Australia,Adelaide Oval,2018-11-16
ODM,United Arab Emirates,Oman,United Arab Emirates,United Arab Emirates,Affies Park,2018-02-12
T20,Warwickshire,Northamptonshire,Northamptonshire,Northamptonshire,Edgbaston,2015-08-29
ODI,South Africa,England,England,No Result,Kingsmead,2020-02-07
T20,Rajasthan,Saurashtra,Rajasthan,Rajasthan,Holkar Stadium,2021-01-19
ODI,India,Netherlands,Netherlands,India,Feroz Shah Kotla,2011-03-09
T20,Sylhet Sunrisers,Comilla Victorians,Comilla Victorians,Comilla Victorians,Sylhet International Cricket Stadium,2022-02-09
T20,Mumbai Indians,Punjab Kings,Punjab Kings,Mumbai Indians,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2024-04-18
T20,Jaffna Kings,Galle Titans,Jaffna Kings,Galle Titans,"R Premadasa Stadium, Colombo",2023-08-13
ODM,South East Stars,Southern Vipers,Southern Vipers,Southern Vipers,"Enborne Lodge, Newbury",2024-07-10
ODM,Hampshire,Worcestershire,Worcestershire,Hampshire,"The Rose Bowl, Southampton",2023-08-25
Test,India,Australia,India,Australia,Sydney Cricket Ground,2025-01-03
ODM,Kent,Middlesex,Middlesex,Kent,"St Lawrence Ground, Canterbury",2017-05-07
Test,Pakistan,Sri Lanka,Sri Lanka,Pakistan,Sharjah Cricket Stadium,2014-01-16
T20,Nagaland,Himachal Pradesh,Nagaland,Himachal Pradesh,"Holkar Cricket Stadium, Indore",2022-10-22
ODM,Hampshire,Lancashire,Hampshire,Hampshire,"Old Trafford, Manchester",2023-08-15
ODI,Oman,United States of America,Oman,Oman,"Moosa Cricket Stadium, Pearland",2022-06-12
T20,West Indies,England,England,West Indies,Riverside Ground,2017-09-16
T20,Dubai Capitals,Abu Dhabi Knight Riders,Abu Dhabi Knight Riders,Dubai Capitals,Dubai International Cricket Stadium,2023-01-13
T20,Lancashire Thunder,Western Storm,Lancashire Thunder,Western Storm,"The Cooper Associates County Ground, Taunton",2019-08-10
T20,Canada,Panama,Canada,Canada,"Coolidge Cricket Ground, Antigua",2021-11-14
IT20,Panama,Belize,Panama,Panama,Church Street Park,2018-09-25
T20,Auckland,Northern Districts,Northern Districts,Northern Districts,Eden Park Outer Oval,2020-01-10
T20,Denmark,Greece,Greece,Denmark,"Guernsey Rovers Athletic Club Ground, Port Soif",2024-08-22
T20,Melbourne Stars,Perth Scorchers,Perth Scorchers,Perth Scorchers,Melbourne Cricket Ground,2019-01-09
T20,Saudi Arabia,Bhutan,Bhutan,Saudi Arabia,University of Doha for Science and Technology,2024-11-22
MDM,Otago Volts,Central Stags,Otago Volts,Central Stags,University of Otago Oval,2023-11-06
T20,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,Sydney Sixers,Hurstville Oval,2018-01-28
T20,Karachi Kings,Multan Sultans,Karachi Kings,Karachi Kings,Dubai International Cricket Stadium,2019-02-15
T20,Canterbury,Otago,Otago,No Result,"Hagley Oval, Christchurch",2023-12-26
Test,South Africa,Pakistan,South Africa,South Africa,SuperSport Park,2013-02-22
T20,Guyana Amazon Warriors,Jamaica Tallawahs,Jamaica Tallawahs,Guyana Amazon Warriors,"Sabina Park, Kingston",2015-07-12
ODI,Australia,Pakistan,Pakistan,Australia,Sheikh Zayed Stadium,2009-05-01
T20,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,Junction Oval,2020-03-02
T20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,"Sardar Patel Stadium, Motera",2014-05-05
Test,Sri Lanka,New Zealand,Sri Lanka,New Zealand,AMI Stadium,2006-12-07
ODM,North-West Warriors,Leinster Lightning,Leinster Lightning,No Result,"Woodvale Road, Eglinton",2018-06-19
MDM,Worcestershire,Essex,Worcestershire,Worcestershire,"County Ground, Chelmsford",2024-08-29
T20,Mumbai Indians,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,2015-04-12
T20,Wellington,Auckland,Wellington,Wellington,"Eden Park Outer Oval, Auckland",2023-01-20
Test,New Zealand,England,New Zealand,No Result,University Oval,2013-03-06
T20,Austria,Czech Republic,Czech Republic,Czech Republic,"Scott Page Field, Vinor",2022-07-10
T20,Scotland,Namibia,Namibia,Namibia,"Zayed Cricket Stadium, Abu Dhabi",2021-10-27
T20,Australia,England,England,Australia,Junction Oval,2020-02-09
MDM,Middlesex,Warwickshire,Warwickshire,No Result,"Lord's, London",2016-04-17
ODI,Scotland,Netherlands,Scotland,Scotland,"VRA Ground, Amstelveen",2024-08-12
MDM,New South Wales,Queensland,Queensland,Queensland,"Brisbane Cricket Ground, Woolloongabba, Brisbane",2023-02-21
ODI,United Arab Emirates,Namibia,Namibia,Namibia,"Wanderers Cricket Ground, Windhoek",2024-09-26
T20,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,"Newlands, Cape Town",2023-02-12
ODI,England,South Africa,South Africa,South Africa,The Rose Bowl,2012-08-28
T20,Malawi,Seychelles,Malawi,Malawi,Gahanga International Cricket Stadium. Rwanda,2021-10-20
MDM,Durham,Yorkshire,Yorkshire,No Result,"Riverside Ground, Chester-le-Street",2016-06-20
T20,Hampshire,Middlesex,Hampshire,Hampshire,The Rose Bowl,2018-07-20
T20,Nondescripts Cricket Club,Ace Capital Cricket Club,Nondescripts Cricket Club,Nondescripts Cricket Club,"Colts Cricket Club Ground, Colombo",2025-06-08
T20,Surrey,Middlesex,Middlesex,Surrey,"Lord's, London",2022-06-09
MDM,Glamorgan,Middlesex,Middlesex,Middlesex,"Sophia Gardens, Cardiff",2024-05-17
ODI,Bangladesh,Ireland,Bangladesh,Bangladesh,Shere Bangla National Stadium,2011-02-25
T20,Leicestershire,Worcestershire,Leicestershire,Worcestershire,Grace Road,2014-06-06
T20,Perth Scorchers,Melbourne Renegades,Perth Scorchers,Perth Scorchers,W.A.C.A. Ground,2018-01-08
T20,Kenya,Papua New Guinea,Kenya,Papua New Guinea,Dubai International Cricket Stadium,2019-10-27
