format,team1,team2,toss_winner,match_winner,venue,date
T20,Hampshire,Somerset,Somerset,Somerset,The Rose Bowl,2018-08-08
T20,Nigeria,Cameroon,Nigeria,Nigeria,"Gahanga B Ground, Rwanda",2025-06-07
MDM,Warwickshire,Durham,Durham,Durham,"Edgbaston, Birmingham",2016-05-22
ODI,New Zealand,Zimbabwe,New Zealand,New Zealand,McLean Park,2012-02-09
T20,Germany,Sweden,Germany,Germany,Bayer Uerdingen Cricket Ground,2024-07-09
T20,Uganda,Tanzania,Uganda,Uganda,"Gahanga International Cricket Stadium, Rwanda",2023-08-25
T20,Royal Challengers Bengaluru,Gujarat Giants,Gujarat Giants,Gujarat Giants,"M Chinnaswamy Stadium, Bengaluru",2025-02-27
T20,New Zealand,India,New Zealand,New Zealand,Dubai International Cricket Stadium,2024-10-04
T20,Paarl Royals,Sunrisers Eastern Cape,Paarl Royals,Sunrisers Eastern Cape,"SuperSport Park, Centurion",2025-02-06
ODI,Kenya,Zimbabwe,Kenya,Zimbabwe,Sharjah Cricket Association Stadium,2003-04-05
ODI,South Africa,Australia,Australia,South Africa,Mangaung Oval,2020-03-04
T20,Sydney Sixers,Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,Sydney Showground Stadium,2020-11-14
T20,Otago,Canterbury,Canterbury,Canterbury,"University Oval, Dunedin",2023-02-06
T20,New Zealand,Bangladesh,Bangladesh,New Zealand,McLean Park,2017-01-03
T20,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,W.A.C.A. Ground,2018-12-22
T20,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,Adelaide Strikers,Adelaide Oval,2016-01-13
MDM,Colombo Cricket Club,Colts Cricket Club,Colombo Cricket Club,No Result,"P Sara Oval, Colombo",2025-12-27
T20,Central Districts,Northern Districts,Central Districts,Central Districts,McLean Park,2019-12-13
T20,Uganda,Namibia,Uganda,Uganda,Entebbe Cricket Oval,2025-03-14
MDM,Nottinghamshire,Worcestershire,Worcestershire,Worcestershire,"Trent Bridge, Nottingham",2017-09-05
T20,Hong Kong,Bangladesh,Bangladesh,Bangladesh,"Zayed Cricket Stadium, Abu Dhabi",2025-09-11
T20,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,M.Chinnaswamy Stadium,2018-05-01
T20,Lancashire Thunder,Southern Vipers,Lancashire Thunder,Southern Vipers,"Aigburth, Liverpool",2017-08-23
MDM,Derbyshire,Durham,Durham,No Result,"County Ground, Derby",2021-05-20
MDM,Canterbury,Wellington Firebirds,Wellington Firebirds,Wellington Firebirds,Hagley Oval,2017-03-29
ODM,Bangladesh,Scotland,Scotland,Bangladesh,Colombo Cricket Club Ground,2017-02-10
MDM,Wellington Firebirds,Otago Volts,Otago Volts,Otago Volts,"Karori Park, Wellington",2015-02-16
T20,India,Thailand,Thailand,India,Royal Selangor Club,2018-06-04
MDM,Kent,Essex,Kent,Essex,"County Ground, Chelmsford",2023-07-19
ODM,Ace Capital Cricket Club,Nondescripts Cricket Club,Ace Capital Cricket Club,Nondescripts Cricket Club,"Nondescripts Cricket Club Ground, Colombo",2025-07-05
T20,Tanzania,Rwanda,Rwanda,Tanzania,"Namibia Cricket Ground, Windhoek",2025-09-03
T20,India,Australia,India,India,Providence Stadium,2018-11-17
T20,Welsh Fire,Trent Rockets,Trent Rockets,Trent Rockets,"Sophia Gardens, Cardiff",2025-08-24
T20,Cape Cobras,Titans,Cape Cobras,Cape Cobras,"Newlands, Cape Town",2014-01-22
MDM,New South Wales,Tasmania,New South Wales,No Result,Sydney Cricket Ground,2023-02-11
T20,South Korea,Philippines,Philippines,Philippines,Udayana Cricket Ground,2025-07-07
Test,West Indies,England,West Indies,England,"Edgbaston, Birmingham",2024-07-26
ODM,Middlesex,Essex,Essex,Middlesex,"Lord's, London",2016-07-31
T20,Scotland,Jersey,Jersey,Scotland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",2023-07-21
T20,Chhattisgarh,Hyderabad (India),Hyderabad (India),Hyderabad (India),"Sawai Mansingh Stadium, Jaipur",2023-10-19
ODI,United States of America,Nepal,Nepal,United States of America,"Moosa Cricket Stadium, Pearland",2022-06-15
T20,Saudi Arabia,Thailand,Thailand,Saudi Arabia,"Bayuemas Oval, Kuala Lumpur",2025-04-28
T20,Malaysia,Bahrain,Malaysia,Bahrain,"Bayuemas Oval, Kuala Lumpur",2024-03-11
ODI,New Zealand,Netherlands,Netherlands,New Zealand,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023-10-09
IT20,Norway,Sweden,Sweden,Norway,Sportpark Thurlede,2018-08-31
T20,Welsh Fire,Trent Rockets,Welsh Fire,Welsh Fire,"Sophia Gardens, Cardiff",2023-08-14
T20,Australia,India,India,Australia,Carrara Oval,2021-10-10
T20,Lahore Qalandars,Multan Sultans,Multan Sultans,Lahore Qalandars,Multan Cricket Stadium,2023-02-13
T20,Adelaide Strikers,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Adelaide Oval,2011-12-28
